,cycle_days,growth_rate_since_stocking
36853,1.0,3.705
21501,1.0,3.904
37121,1.0,1.722
24035,1.0,4.449
23651,1.0,2.683
23621,1.0,1.445
33619,1.0,3.859
32754,1.0,1.298
33618,1.0,4.518
23605,1.0,2.186
23640,1.0,3.465
25057,1.0,3.223
21857,1.0,6.023
21831,1.0,3.868
34358,1.0,4.62
30980,2.0,2.633
28481,2.0,1.366
30986,2.0,2.871
43864,2.0,1.931
20355,2.0,1.925
39432,2.0,3.921
34461,2.0,2.955
44061,2.0,6.443
39104,2.0,4.708
30911,2.0,2.282
28092,2.0,5.246
36868,2.0,1.97
39661,2.0,0.778
23421,2.0,1.581
23449,2.0,2.065
23472,2.0,2.63
23624,2.0,1.073
23629,2.0,1.3
23801,2.0,2.648
24025,2.0,1.261
35250,2.0,1.89
42720,2.0,1.273
21860,2.0,2.554
28061,2.0,3.015
36859,2.0,2.244
21507,2.0,2.524
34758,2.0,2.166
34756,2.0,1.884
34749,2.0,1.643
23180,2.0,2.941
27712,2.0,1.165
28022,2.0,1.466
28040,2.0,3.221
21823,2.0,3.023
23063,2.0,2.428
33615,2.0,2.835
36126,2.0,4.403
31823,2.0,1.948
32624,3.0,5.231
27969,3.0,2.024
32621,3.0,3.27
39749,3.0,1.431
41009,3.0,3.69
43988,3.0,3.909
21818,3.0,3.442
27428,3.0,3.397
42624,3.0,1.853
42648,3.0,0.845
20320,3.0,1.379
25820,3.0,4.091
35228,3.0,1.631
21675,3.0,3.793
31862,3.0,3.381
35179,3.0,0.855
22124,3.0,4.213
20346,3.0,0.968
29087,3.0,3.187
27970,3.0,1.106
29035,3.0,2.861
44099,3.0,4.395
28907,3.0,2.532
19355,3.0,2.249
43850,3.0,3.24
31753,3.0,3.666
43851,3.0,5.239
31806,3.0,5.609
28594,3.0,3.785
39699,3.0,4.906
21691,3.0,3.052
44391,3.0,5.468
39613,3.0,2.312
31462,3.0,1.231
40977,3.0,3.326
29017,3.0,4.079
31352,3.0,1.58
31347,3.0,1.676
28473,3.0,3.972
25363,4.0,1.775
25340,4.0,1.609
21699,4.0,1.234
33024,4.0,1.958
25355,4.0,1.707
21618,4.0,1.231
43057,4.0,3.04
40089,4.0,1.775
40051,4.0,2.341
43992,4.0,2.389
28097,4.0,1.614
20868,4.0,4.105
20852,4.0,3.477
43033,4.0,3.897
38738,4.0,1.272
37654,4.0,2.133
37180,4.0,2.68
23786,4.0,1.59
23841,4.0,1.569
39318,4.0,5.196
37153,4.0,4.196
41858,4.0,3.873
41828,4.0,4.291
41789,4.0,4.262
22029,4.0,3.211
37142,4.0,2.35
21994,4.0,1.865
38673,4.0,2.501
38662,4.0,1.658
42746,4.0,2.199
42747,4.0,1.171
23408,4.0,1.479
21998,4.0,2.105
23255,4.0,1.488
37101,4.0,1.079
28523,5.0,2.055
23192,5.0,0.99
23620,5.0,1.048
39651,5.0,3.222
34685,5.0,1.472
23345,5.0,1.712
23573,5.0,1.879
28540,5.0,2.241
28445,5.0,1.042
28055,5.0,1.741
36522,5.0,2.634
28531,5.0,2.575
36526,5.0,2.778
23589,5.0,1.36
36520,5.0,2.694
23745,5.0,2.563
25319,5.0,1.781
21955,5.0,1.883
21967,5.0,1.435
34151,5.0,1.02
34162,5.0,1.451
32939,5.0,2.752
35197,5.0,1.257
22014,5.0,2.35
22020,5.0,1.21
35202,5.0,1.137
21677,5.0,0.841
35175,5.0,1.099
43111,5.0,3.371
37104,5.0,2.442
24193,5.0,2.057
19393,5.0,1.851
36513,5.0,2.875
23802,5.0,1.755
19385,5.0,1.808
23759,5.0,1.459
23737,5.0,2.356
24021,5.0,1.295
37682,5.0,1.247
44431,5.0,3.952
26255,6.0,4.011
23851,6.0,1.768
21826,6.0,2.105
28926,6.0,1.362
34653,6.0,1.04
35522,6.0,1.958
36502,6.0,2.738
32319,6.0,1.775
21969,6.0,1.004
28444,6.0,1.793
27753,6.0,4.765
24179,6.0,3.016
39482,6.0,2.999
43998,6.0,2.683
32142,6.0,2.344
24556,6.0,2.498
28108,6.0,1.272
40680,6.0,4.6
34660,6.0,1.708
34661,6.0,1.822
38752,6.0,1.251
24571,6.0,1.853
21946,6.0,1.978
29440,6.0,2.79
28074,6.0,0.702
29445,6.0,2.651
23828,6.0,2.059
29828,6.0,4.313
20501,6.0,0.944
32259,6.0,2.099
31800,6.0,1.774
31796,6.0,1.85
43042,6.0,1.905
43097,6.0,1.348
23354,6.0,0.987
43105,6.0,1.607
35734,6.0,1.557
37120,6.0,1.546
32356,6.0,1.28
31497,6.0,1.291
34015,6.0,1.554
44429,6.0,3.364
29323,6.0,2.735
37149,6.0,2.443
21817,6.0,1.983
39019,6.0,1.838
40148,6.0,2.652
37146,6.0,2.537
43002,6.0,1.523
31423,6.0,0.791
19621,6.0,2.511
44385,6.0,3.037
31481,6.0,1.192
29332,6.0,3.147
28554,6.0,1.068
28068,6.0,1.076
21146,7.0,4.347
35750,7.0,2.146
37659,7.0,2.121
39714,7.0,5.637
21144,7.0,3.398
33534,7.0,4.338
25255,7.0,0.781
40632,7.0,1.137
20211,7.0,1.051
40470,7.0,1.93
21809,7.0,1.864
40139,7.0,2.523
33004,7.0,2.973
40135,7.0,3.614
25662,7.0,1.419
38988,7.0,1.981
33045,7.0,4.731
44010,7.0,3.066
21836,7.0,1.777
25586,7.0,2.063
25581,7.0,1.132
43193,7.0,2.825
40033,7.0,1.851
38967,7.0,1.814
43209,7.0,2.272
28862,7.0,2.805
22100,7.0,2.111
36131,7.0,2.337
44667,7.0,4.179
42189,7.0,3.489
28909,7.0,2.477
41517,7.0,2.477
41518,7.0,3.295
20468,7.0,1.389
28106,7.0,1.55
41889,7.0,2.551
42246,7.0,2.664
43964,7.0,3.123
32067,7.0,2.683
24066,7.0,1.041
24044,7.0,0.896
20511,7.0,1.191
42166,7.0,3.249
